City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Mackay,AU,-21.15,149.2,65.68,49,100,10.49,overcast clouds
153,Sagaing,MM,21.8787,95.9797,82.58,74,100,8.05,overcast clouds
154,Sioux Lookout,CA,50.1001,-91.917,62.67,48,20,2.3,few clouds
155,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.25,93,75,3.44,broken clouds
156,San Patricio,US,28.017,-97.5169,85.17,79,14,16.69,few clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,43.95,93,0,3.44,clear sky
158,Bereda,ES,43.2686,-7.5406,62.42,99,100,6.35,overcast clouds
159,Vila Velha,BR,-20.3297,-40.2925,69.94,82,75,2.3,broken clouds
160,Revelstoke,CA,50.9832,-118.2023,62.62,77,100,3.44,overcast clouds
161,Wladyslawowo,PL,54.7909,18.4009,61.02,93,6,9.44,clear sky
162,Tasiilaq,GL,65.6145,-37.6368,33.96,75,53,1.88,broken clouds
163,Lashio,MM,22.9333,97.75,73.08,93,99,1.92,overcast clouds
164,Berlevag,NO,70.8578,29.0864,57.0,81,100,1.14,light rain
165,Porto Novo,BJ,6.4965,2.6036,76.82,92,100,4.43,overcast clouds
166,Georgetown,MY,5.4112,100.3354,84.13,86,20,3.44,few clouds
167,Paraiso,CR,9.8383,-83.8656,64.42,98,100,1.41,overcast clouds
168,Flinders,AU,-34.5833,150.8552,63.18,53,2,7.0,clear sky
169,Grants Pass,US,42.439,-123.3284,80.11,61,100,6.91,overcast clouds
170,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,26.46,few clouds
171,Parana,AR,-31.732,-60.5238,51.55,57,1,4.29,clear sky
172,Nikolskoye,RU,59.7035,30.7861,63.88,77,100,3.87,overcast clouds
173,Iqaluit,CA,63.7506,-68.5145,42.53,65,75,17.27,broken clouds
174,Bac Lieu,VN,9.285,105.7244,86.61,65,74,6.33,broken clouds
175,Tazovskiy,RU,67.4667,78.7,55.24,78,100,10.31,overcast clouds
176,Arlit,NE,18.7369,7.3853,85.41,31,99,2.64,overcast clouds
177,Budogoshch,RU,59.2816,32.4707,59.72,77,100,4.94,overcast clouds
178,Korla,CN,41.7597,86.1469,86.13,13,7,14.58,clear sky
179,Tete,MZ,-16.1564,33.5867,66.29,88,75,3.44,broken clouds
180,Norrtalje,SE,59.758,18.705,59.02,84,49,6.26,scattered clouds
181,Olot,ES,42.181,2.4901,68.59,10,79,5.19,broken clouds
182,Alofi,NU,-19.0595,-169.9187,80.49,78,13,12.66,few clouds
183,Hamilton,US,39.1834,-84.5333,72.45,79,100,5.75,overcast clouds
184,Severo-Kurilsk,RU,50.6789,156.125,47.12,82,85,8.57,overcast clouds
185,Wanning,CN,18.8003,110.3967,86.72,75,100,13.87,overcast clouds
