City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
133,Lorengau,PG,85.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
136,Lincoln,US,78.17,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
137,Waingapu,ID,81.84,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
138,Dingle,PH,86.23,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
145,Nuevo Casas Grandes,MX,83.75,overcast clouds,30.4167,-107.9167,Hotel Villa Colonial
148,Coahuayana,MX,81.27,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
149,Sabang,ID,82.58,overcast clouds,5.8933,95.3214,Hotel Citra
151,Jose De Freitas,BR,77.95,moderate rain,-4.7564,-42.5756,É Antônio de Souza construção
153,Sagaing,MM,82.58,overcast clouds,21.8787,95.9797,Makara Cruise
156,San Patricio,US,85.17,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
165,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
166,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
169,Grants Pass,US,80.11,overcast clouds,42.439,-123.3284,Shilo Inns Grants Pass
170,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
174,Bac Lieu,VN,86.61,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
176,Arlit,NE,85.41,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
178,Korla,CN,86.13,clear sky,41.7597,86.1469,Gulisitan Hotel
182,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
185,Wanning,CN,86.72,overcast clouds,18.8003,110.3967,Paradise Hotel
187,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
194,Mathbaria,BD,87.82,broken clouds,22.2876,89.9593,Shikdar Hotel
195,Victoria,HK,87.96,light rain,22.2855,114.1577,Mini Central
196,Bubaque,GW,80.53,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Bandarbeyla,SO,79.16,scattered clouds,9.4942,50.8122,JABIR HOTEL
202,Balabac,PH,85.89,few clouds,7.9868,117.0645,Batalla’s Lodging House
203,Farah,AF,76.73,clear sky,32.5,62.5,
204,Ukiah,US,84.09,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
206,Salina Cruz,MX,80.01,scattered clouds,16.1667,-95.2,Amerik HOTEL
214,Houma,US,75.02,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
215,Palasa,IN,86.27,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
218,Acarau,BR,75.88,few clouds,-2.8856,-40.12,castelo pizzaria
219,Manga,BF,84.87,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
220,Jalingo,NG,75.36,moderate rain,8.8833,11.3667,Debright Motel
224,Gizo,SB,84.25,clear sky,-8.103,156.8419,Imagination Island
226,Loralai,PK,82.53,broken clouds,30.3705,68.598,Saddam Hotel & Resturant
228,Cuauhtemoc,MX,82.31,few clouds,28.4167,-106.8667,Motel Tarahumara Inn
231,Mahibadhoo,MV,83.28,overcast clouds,3.7833,72.9667,Omadhoo Inn
238,Ust-Ilimsk,RU,76.26,overcast clouds,58.0006,102.6619,AleNat Center
240,Palmas,BR,76.87,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
242,Lakatoro,VU,82.56,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
250,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
252,Umm Lajj,SA,86.54,clear sky,25.0213,37.2685,Moon light Furnished Units
259,Marawi,PH,82.02,scattered clouds,7.9986,124.2928,Derogongan Residence
261,Ginda,IN,82.69,clear sky,30.6945,78.4932,Sunil Bisht
263,Sharjah,AE,84.18,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
265,Yarada,IN,86.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
266,Conakry,GN,79.74,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
269,Mumford,GH,77.23,overcast clouds,5.2618,-0.759,Spanish Villa
270,Srandakan,ID,83.97,overcast clouds,-7.9386,110.2506,Puri Brata
285,Cockburn Town,TC,80.92,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
289,Springdale,US,82.13,clear sky,36.1867,-94.1288,Springdale Inn
293,Russell,US,79.83,clear sky,32.3502,-85.1999,Macs
298,Nuqui,CO,75.96,moderate rain,5.7125,-77.2708,Hotel Nuquimar
305,Teknaf,BD,85.57,broken clouds,20.8624,92.3058,Forestry Guesthouse
307,Magalia,US,87.35,few clouds,39.8121,-121.5783,Paradise Pines RV Park - FHU - Safe & Clean
310,Paka,MY,76.93,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
313,Hobyo,SO,78.55,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
316,Howard Springs,AU,81.99,few clouds,-12.497,131.047,buffalo beach hostel
317,Port Hedland,AU,77.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
320,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
322,Jacqueville,CI,79.09,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
323,Kalat,PK,78.26,few clouds,29.0225,66.5916,PHE Rest House
330,Avera,US,79.56,broken clouds,33.194,-82.5271,
333,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
336,Mogadishu,SO,78.84,overcast clouds,2.0371,45.3438,Hotel Juba
349,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
351,Harper,LR,77.45,light rain,4.375,-7.7169,Screensaver
352,Fare,PF,79.25,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
353,San Jose,US,83.48,few clouds,37.3394,-121.895,The Westin San Jose
356,Iracoubo,GF,76.23,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
357,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
364,Phuket,TH,84.42,scattered clouds,8.0,98.25,The Surin
369,Cotonou,BJ,76.98,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
372,Vanimo,PG,85.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
381,Bilma,NE,88.61,clear sky,18.6853,12.9164,Expeditions Ténére voyages
395,Jingcheng,CN,82.0,overcast clouds,32.0142,120.2625,GreenTree Inn Taizhou Jingjiang Jiangping Road Shanghai City Business Hotel
